n_short,n_long,short_mean,long_mean,diff_mean,welch_t,welch_p,cohen_d,mw_U,mw_p,cliffs_delta,diff_ci_lo,diff_ci_hi,route,welch_q
379,742,644.2638522427441,601.1091644204852,43.15468782225889,11.439329245244311,1.8805667145191039e-28,0.669104739997534,197119.0,3.030940522260437e-28,0.40189461556514877,-50.55820868874977,-35.751166955768014,SYD-NYC,1.6360930416316203e-26
51,1371,356.72549019607845,322.34281546316555,34.3826747329129,14.941027543871888,2.2103527277288576e-23,1.0499683898220022,60682.5,4.109835041802953e-19,0.7357446260780023,-38.97297629654209,-29.792373169283714,LHR-NYC,9.61503436562053e-22
142,638,479.8098591549296,429.12852664576803,50.681332509161564,10.574113467830594,6.149131970096935e-22,0.8352033666454124,66214.0,7.044221434253547e-18,0.46174224027550886,-60.11974568506577,-41.242919333257355,LAX-SYD,1.7832482713281113e-20
171,728,340.859649122807,310.9409340659341,29.91871505687294,9.86719310168486,7.704755739713165e-20,0.7949666380245093,89520.0,4.2931732504520483e-19,0.4382109118951224,-35.888051228856355,-23.949378884889523,TYO-LHR,1.6757843733876135e-18
158,731,351.8544303797468,315.93023255813955,35.924197821607265,9.640850021951069,1.1225517449847754e-18,0.8500657285914979,83940.5,3.532851892138718e-19,0.45354032104452024,-43.26636216588127,-28.58203347733326,HND-LHR,1.9532400362735093e-17
306,1709,194.5392156862745,183.61790520772382,10.92131047855068,8.783238269944404,3.66087326818166e-17,0.524691051583207,336456.0,1.2362893058271606e-15,0.28675179843733867,-13.365165129019974,-8.477455828081386,DXB-LHR,5.308266238863407e-16
122,957,248.7377049180328,266.0898641588297,-17.352159240796908,-9.120053881505461,2.5001933054689635e-16,-0.7840274334396901,32644.0,1.9962620978514133e-15,-0.44080716720626273,13.59552256737646,21.108795914217357,HND-SYD,3.1073831082257117e-15
144,1034,567.7430555555555,547.215667311412,20.527388244143594,8.554164991688792,3.447082813212896e-15,0.704128551186624,105297.0,7.211762702745089e-16,0.41436976144422955,-25.26003169514202,-15.794744793145172,LHR-SYD,3.748702559369024e-14
369,1247,342.10840108401084,360.4346431435445,-18.326242059533683,-7.997209031867888,4.7359553992494475e-15,-0.4147437876821015,169053.5,9.218863491734049e-15,-0.2652132054600418,13.827667285745857,22.82481683332151,HND-LAX,4.578090219274466e-14
326,838,439.4233128834356,407.7219570405728,31.701355842862768,7.543236205117249,1.490768157435421e-13,0.4640489023148221,172137.0,5.108300220459251e-12,0.26020908678272836,-39.95318004123674,-23.449531644488793,SYD-LHR,1.2969682969688163e-12
166,804,241.0843373493976,227.80721393034827,13.277123419049332,7.093930030130736,7.432610853760192e-12,0.46226112071097414,82862.0,9.140359910147813e-07,0.24171312114128155,-16.958333371665958,-9.595913466432705,SYD-TYO,5.878519493428516e-11
229,550,475.7510917030568,438.13454545454545,37.61654624851133,6.978385895017299,1.0207268151163275e-11,0.5259574893899588,83594.0,5.730861568904621e-13,0.32741564112743154,-48.208879843581144,-27.024212653441506,SYD-LAX,7.400269409593375e-11
223,2926,75.08520179372198,80.54579630895421,-5.460594515232231,-6.615755520357963,2.1338324249818306e-10,-0.4593044630013348,242993.5,1.9595518704080434e-10,-0.25519005422238844,3.8352028408243735,7.085986189640088,LAX-NYC,1.4280263151801483e-09
560,2121,243.1125,246.34606317774634,-3.2335631777463334,-6.368064479572186,3.6740412357197345e-10,-0.4354216161073797,550529.5,0.007679033990202849,-0.07299538627332121,2.236435397160829,4.230690958331838,TYO-DXB,2.2831541964829778e-09
168,304,578.0952380952381,497.56907894736844,80.52615914786963,6.163783063693213,2.263117137688638e-09,0.619189953089138,34855.5,5.0756665401672135e-11,0.36495535714285715,-106.2346658686389,-54.81765242710038,TYO-MIA,1.31260793985941e-08
118,1025,389.00847457627117,369.9541463414634,19.05432823480777,6.323015618811032,3.03035836044287e-09,0.6249892706650407,81275.5,8.99871523984135e-10,0.343952046300124,-25.010692031691736,-13.097964437923803,LHR-LAX,1.6477573584908106e-08
228,1807,201.59649122807016,194.9596015495296,6.6368896785405695,6.055910318913717,3.828944210601772e-09,0.35369133359358296,255207.0,3.898532434806989e-09,0.2388809600093205,-8.792855264471982,-4.480924092609157,CDG-DXB,1.9595185077785544e-08
264,1545,164.10227272727272,168.02653721682847,-3.9242644895557532,-5.947898799950096,6.469540911330097e-09,-0.3978056196009652,160314.0,2.58932840832128e-08,-0.213915857605178,2.626740788718707,5.221788190392799,SIN-TYO,3.126944773809547e-08
458,1338,477.7467248908297,498.2174887892377,-20.470763898407995,-5.719631144537573,1.5357210591268802e-08,-0.31738409779793597,244622.0,1.1218345325958756e-10,-0.20163053765967584,13.444775891654015,27.496751905161975,HND-NYC,7.03198590231782e-08
200,1174,404.935,394.1814310051107,10.753568994889292,5.781925559939877,1.7217241174194094e-08,0.3658801907133006,139759.0,1.6242372589462336e-05,0.19045144804088587,-14.412335428807442,-7.094802560971143,LAX-DXB,7.48949991077443e-08
168,1420,239.10714285714286,233.74647887323943,5.360663983903436,5.631219496522191,4.5894199130469836e-08,0.33900618219747075,145326.5,3.557824548450073e-06,0.21836435278336686,-7.235089356093733,-3.4862386117131394,TYO-SYD,1.90133110683375e-07
368,936,593.7853260869565,563.3429487179487,30.442377369007772,5.181328883768524,3.125188848499869e-07,0.36096272928029494,204077.5,1.9437855912459228e-07,0.1849538972500929,-41.984026901167134,-18.90072783684841,NYC-SYD,1.2358701355431299e-06
