n_weekday,n_weekend,weekday_mean,weekend_mean,diff_mean,diff_ci_lo,diff_ci_hi,welch_t,welch_p,cohen_d,mw_U,mw_p,cliffs_delta,route,welch_q
1196,538,422.67224080267556,431.15055762081784,8.478316818142275,-12.716604786167807,-4.240028850116743,-3.9260039118604406,9.295012027759707e-05,0.21651663648652217,288582.5,0.0005898827033385072,0.1030122092228121,TYO-NYC,0.008179610584428542
1112,518,298.27517985611513,303.7606177606178,5.485437904502646,-9.4791196251233,-1.4917561838819924,-2.695473695192357,0.0071520330972417705,0.14647216553267067,264107.5,0.006898407068805909,0.08298554206827588,TYO-LAX,0.2063679886066736
526,253,444.5361216730038,458.87351778656125,14.337396113557475,-25.262511984869256,-3.412280242245691,-2.578276559958816,0.010210234755123532,0.1957540476708654,58953.5,0.009903264559653435,0.11400081155412616,SYD-LAX,0.2063679886066736
1878,803,245.92172523961662,245.08343711083438,-0.8382881287822386,0.19585520765539177,1.4807210499090853,2.559674992336842,0.010580043360986885,-0.11129670437657847,801159.5,0.01008623249077525,-0.06252179990636816,TYO-DXB,0.2063679886066736
1440,582,395.28680555555553,393.1872852233677,-2.099520332187808,0.46775891567432915,3.731281748701287,2.5247065104663804,0.011725453898106456,-0.12520287061357313,440618.0,0.06932071006024701,-0.05149389079801451,DXB-NYC,0.2063679886066736
902,355,85.54767184035477,84.50704225352112,-1.0406295868336457,0.1687024635842732,1.912556710083018,2.3439918196181977,0.019409523849993494,-0.15403642049104108,170638.5,0.06832788890074723,-0.06579119952531151,LHR-CDG,0.2846730164665712
982,447,390.70875763747455,398.9082774049217,8.199519767447157,-15.747734940705607,-0.6513045941887068,-2.131807045043036,0.0332796753787443,0.11718132122933299,204149.5,0.0340112485078823,0.06983647489258556,NYC-SIN,0.41176091017518296
1479,650,172.3813387423935,173.41384615384615,1.0325074114526558,-2.0048558551186164,-0.06015896778669527,-2.0833499842662175,0.03743281001592572,0.09989450599642519,450577.0,0.021020271852473828,0.06261611275810058,NYC-LHR,0.41176091017518296
1267,528,521.8666140489345,519.6458333333334,-2.2207807156011086,-0.04503529923687699,4.486596730439095,1.9232645535075985,0.05472185817722175,-0.09765822425137703,351219.0,0.09447922227133358,-0.050019731649565906,SIN-NYC,0.535058168843946
777,313,384.5289575289575,388.12460063897765,3.5956431100201485,-7.804306664243447,0.6130204442031504,-1.67810411354833,0.09388399119509602,0.11383194655950775,114917.5,0.15521417297377815,0.05495865559763324,LHR-MIA,0.7406994018117367
1411,624,195.24238128986534,196.74519230769232,1.5028110178269856,-3.3029754325480165,0.2973533968940454,-1.6379213739766927,0.10170893014406435,0.07964686630633594,417986.0,0.06861756465433115,0.050532446528194226,CDG-DXB,0.7406994018117367
1124,481,472.6129893238434,475.3970893970894,2.784100073246009,-6.132218194152811,0.564018047660793,-1.6322611704668009,0.10301796617594157,0.09430757785188931,263091.5,0.3952871210959825,0.02674773048438529,DXB-MIA,0.7406994018117367
2056,882,41.034046692607006,40.445578231292515,-0.5884684613144913,-0.1567448911751096,1.333681813804092,1.5488679538915604,0.12160827219618241,-0.06307494758861829,927804.0,0.31567126347486607,-0.023280129172291483,MIA-NYC,0.7406994018117367
1376,573,82.00145348837209,82.91623036649214,0.9147768781200512,-2.113348604208544,0.2837948479684418,-1.4975861600577463,0.13453635489303045,0.07454129513819537,379277.5,0.1863925409438737,0.03791372417711758,LAX-MIA,0.7406994018117367
1958,818,249.95199182839633,249.54523227383862,-0.4067595545577092,-0.13357088674940099,0.9470899958648193,1.4766449873292173,0.13998018907536044,-0.06197408210262686,830956.5,0.1167098488688134,-0.037629460729100846,HND-DXB,0.7406994018117367
1123,493,355.14425645592166,358.7687626774848,3.624506221563138,-8.463252352996232,1.2142399098699554,-1.4701025406240964,0.1418829276745427,0.08086580056821405,265453.0,0.1881646504558948,0.0410610524186338,HND-LAX,0.7406994018117367
776,303,264.7667525773196,262.4917491749175,-2.275003402402092,-0.7722897938819555,5.3222965986861395,1.4664957081496035,0.1430896571681764,-0.0998583938346724,123715.0,0.1810342387681949,-0.05232043822938995,HND-SYD,0.7406994018117367
413,173,354.728813559322,363.9364161849711,9.207602625649088,-22.095505934794517,3.6803006834963394,-1.4065049853068812,0.16071108488833233,0.13816285051687704,33328.5,0.19998125177695003,0.06706881831796106,LAX-SIN,0.7746614699959338
985,409,227.88324873096445,226.2713936430318,-1.6118550879326676,-0.6770299437830571,3.9007401196483924,1.3823473421219854,0.16725645374912207,-0.08009994319805024,212098.0,0.11902935812182192,-0.05294825810134909,LHR-DXB,0.7746614699959338
2414,995,155.76677713338856,156.0994974874372,0.3327203540486323,-0.9011763192970103,0.23573561119974562,-1.1479524096985134,0.25114133947916,0.043910559556454676,1151954.5,0.05986838181441072,0.04080926588201988,DXB-SIN,0.9814800959082756
1175,501,339.4578723404255,342.12175648702595,2.6638841466004237,-7.515745055729271,2.1879767625284234,-1.0774645604041782,0.28154345689176763,0.05707309392366045,282153.5,0.17916380035275525,0.04139465749352359,CDG-LAX,0.9814800959082756
679,303,222.7879234167894,225.65346534653466,2.8655419297452625,-8.142555445557619,2.411471586067093,-1.0664889319517525,0.2866378525511357,0.0730923844239082,98127.5,0.24813356191314617,0.04608796667590176,LAX-LHR,0.9814800959082756
825,310,350.0630303030303,347.2,-2.863030303030314,-2.414342798752151,8.14040340481278,1.0655016828873218,0.287087767103137,-0.06911970772462264,137378.5,0.05338072161532133,-0.0743186705767351,LAX-HND,0.9814800959082756
